language,paradigm
Roff,undefined
Vala,undefined
Chapel,undefined
Shell,scripted
PowerShell,scripted
Vim script,scripted
Emacs Lisp,scripted
Batchfile,scripted
PHP,procedural
C++,procedural
JavaScript,oob
Python,oob
Java,oob
Ruby,oob
C#,oob
TypeScript,oob
Jupyter Notebook,oob
Objective-C,oob
Kotlin,oob
Dart,oob
Crystal,oob
Go,multi
Swift,multi
Scala,multi
R,multi
Rust,multi
Lua,multi
Perl,multi
CoffeeScript,multi
Matlab,multi
Julia,multi
Visual Basic,multi
F#,multi
D,multi
Assembly,machine
C,imperative
Arduino,imperative
Fortran,imperative
Elixir,functional
Groovy,functional
Haskell,functional
Clojure,functional
OCaml,functional
Erlang,functional
HTML,declarative
CSS,declarative
XSLT,declarative
PLpgSQL,declarative
Elm,declarative
Nix,declarative
